외국인투자기업정보,,,,,,,,,,,
,,,,,,,,,,,
회사명(한글),회사명(영문),전화번호,우편번호,주소,표준산업중분류명,표준산업분류명,표준산업분류코드,외투기업최초등록일자,대표업종,대표투자국가,업체유형
(유)무어일렉트로닉코리아,MURRELEKTRONIK KOREA LTD.,772-2786,420120,경기 부천시 원미구 춘의동 202 춘의테크노파크 2차 201동 1010호,전기?전자,그외 기타 전자부품 제조업,26299,20111104,"기계, 전자제품의 제조 및 판매업",독일,법인기업
(유)미라클워터,MIRACLE WATER LIMITED,,690231,제주특별자치도 제주시 서해안로 (이호일동 ) 122,도?소매(유통),기타 가공식품 도매업,46329,20160512,건강보조식품 도소매,통가,법인기업
(유)미보,"MIBO CO.,LTD.",062-946-7000,506500,광주광역시 광산구 평동로803번길 46 (옥동),전기?전자,그외 기타 전자부품 제조업,26299,20050804,전자부품 및 자동차부품제조업,중국,법인기업
(유)미션스프링스코리아,MISSION SPRINGS KOREA LTD.,0,135957,서울특별시 강남구 도산대로89길 13 (청담동 2층),음식?숙박,기타 외국식 음식점업,56119,20130917,음식점업,캐나다,법인기업
(유)미소,"MISO CO.,LTD.",,135868,"서울특별시 강남구 선릉로 524, 822호(삼성동)",비즈니스서비스업,온라인?모바일 게임 소프트웨어 개발 및 공급업,58211,20151211,모바일어플리케이션개발,미국,법인기업
(유)바이오리텍코리아,BIOLITEC KOREA LTD.,772-2811,140889,"서울특별시 용산구 독서당로 85, 701 (한남동)",도?소매(유통),"의료, 정밀 및 과학기기 도매업",46592,20120523,의료기기 판매업,아랍에미레이트,법인기업
(유)벨루티코리아,"BERLUTI KOREA CO.,LTD.",,137952,서울특별시 서초구 서초대로38길 (서초동 ) 411(지티타워 동관),도?소매(유통),상품 종합 도매업,46800,20160615,상품종합도매업,프랑스,법인기업
(유)보다폰오토모티브코리아,VODAFONE AUTOMOTIVE KOREA LTD.,031-548-8200,446901,"경기 용인시 기흥구 공세로 54, 3층(고매동)",도?소매(유통),기타 자동차신품 부품 및 내장품 판매업,45219,20081105,"자동차용 부품 및 시스템의 제조, 판매, 배급, 수출입, 개발업",이탈리아,법인기업
(유)보디,"VODIY CO.,LTD.",,330800,"충청남도 천안시 서북구 성환읍 성환1로 ( ) 233, 101호",비즈니스서비스업,경영컨설팅업,71531,20160516,중고차매매,러시아,법인기업
(유)보스트알피네볼러용접동북아시아,VOESTALPINE BOEHLER WELDING NORTHEAST ASIA LTD.,,137847,"부산광역시 해운대구 센텀북대로 60 501 (재송동, 센텀아이에스타워 5층)",도?소매(유통),공작기계 도매업,46533,20141113,"용접제품의 서비스, 수출입",독일,법인기업
(유)보원2공장,,614622634,526891,전남 영암군 삼호읍 나불리 340-3,종합건설,산업플랜트 건설업,41225,20120831,플랜트공사,뉴질랜드,법인기업
(유)뷰로반다익일렉트로닉퍼블리싱,Bureau van Dijk,02-3782-4833,135080,서울 강남구 역삼동 824-22 홍은빌딩 10층,비즈니스서비스업,데이터베이스 및 온라인정보 제공업,63991,20100104,"온라인 정보제공 및 전자출판업 , 자료처리업",스위스,법인기업
(유)브링스글로벌,BRINGSGLOBAL SERVICES KOREA LIMITED,02-704-1146,121040,서울 마포구 도화동 22 창강빌딩 1122호,운수?창고(물류),항공 및 육상 화물 취급업,52941,20030623,귀중품 국제운송업 외,스위스,법인기업
(유)브이피에이치아이,"VALEO PYEONG HWA INTERNATIONAL CO., LTD.",734-3730,110794,서울 종로구 인사동 194-4 하나로빌딩 902호,도?소매(유통),기타 자동차신품 부품 및 내장품 판매업,45219,20090422,자동차부품 도소매 무역업,프랑스,법인기업
(유)사크미코리아,"SACMI MACHINERY KOREA CO., LTD.",02-552-8373,134814,"서울특별시 송파구 백제고분로 469, 5층(방이동, 가응빌딩)",비금속광물,산업용 도자기 제조업,23213,20130904,세라믹장비 제조 판매 서비스제공,중국,법인기업
(유)삼육에스피,SAMYUGSP PRIVATE COMPANY,061-462-0272,526891,전남 영암군 삼호읍 나불리 339-13 14번지,운송용기계,선박 구성부분품 제조업,31114,20110308,선박 구성부분품제조업,일본,법인기업
(유)삼현식품,"SAM HYEON CO., LTD.",011-601-9664,526891,전남 영암군 삼호읍 나불리 339-7,화공,기타 기초유기화학물질 제조업,20119,20050103,기초 유기화합물 제조,중국,법인기업
(유)샤프게인코리아,"SHARP GAIN KOREA CO.,LTD.",02-6137-9878,150895,"서울특별시 영등포구 국제금융로 10 (여의도동, 투아이에프씨15층)",부동산?임대,비주거용 건물 개발 및 공급업,68122,20130201,평창동계올림필 관광기반시설특구개발,포르투칼,법인기업
(유)서원중공업,"SEO WEON INDUSTRIES CO.,LTD",061-464-8890,526891,전남 영암군 삼호읍 나불리 611-9,운송용기계,선박 구성부분품 제조업,31114,20101020,선박구성부분품제조,홍콩,법인기업
(유)성문,SUNGMOON,619831145,526891,전남 영암군 삼호읍 나불리 339-3,운송용기계,선박 구성부분품 제조업,31114,20090225,선박엔진 부품제작,미국,법인기업
(유)세진엔터프라이즈,SEJIN ENTERPRISE LTD.,,600022,"부산광역시 해운대구 센텀3로 (우동 센텀스퀘어) 26, 3601호",도?소매(유통),상품 종합 도매업,46800,20141022,"무역업(수산물, 선용품 및 선식, 식음료, 건축자재 및 기계류), 사업자문업, 부동산 매매업 밑 임대업, 식당업, 체육시설업, 외국인환자 유치사업 등",러시아,법인기업
(유)쉐이프넷쉐이프코리아,SHAPE/NETSHAPE KOREA LIMITED,02-316-6662,121812,"서울특별시 마포구 마포대로 78, 10층 (도화동, 자람빌딩)",비즈니스서비스업,시장조사 및 여론조사업,71400,20081030,시장조사및여론조사업,모리셔스,법인기업
(유)스벤손코리아,SVENSSON KOREA,031-334-8850,320844,충남 논산시 가야곡면 야촌리 483-31,섬유?직물?의류,솜 및 실 염색가공업,13401,19951005,합성섬유제조업.종합무역업 등,스웨덴,법인기업
(유)스태츠칩팩코리아,STATS CHIPPAC KOREA LIMITED,031-639-8960,467866,인천 중구 자유무역로 191 (운서동),전기?전자,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",26120,19990812,다이오드.트랜지스타및유사반도체제조,버진아일랜드,법인기업
(유)스텔라앤틱스엔터테인먼트앤드미디어그룹,STELLAR ANTICS ENTERTAINMENT AND MEDIA GROUP LIMITED COMPANY,,140894,"서울특별시 용산구 한남대로 20길 61-15, 401호(한남동)",문화?오락,공연 기획업,90191,20150402,공연기획서비스,독일,법인기업
(유)스톤헨지코리아,STONEHENGE KOREA LTD.,02-528-5225,110714,"서울특별시 종로구 종로 1, 15층 (종로1가, 교보빌딩)",부동산?임대,기타 부동산 개발 및 공급업,68129,20100108,"광산프로젝트의 개발, 각 호와 관련된 부대사업 일체",호주,법인기업
(유)시로나덴탈시스템즈코리아,"SIRONA DENTAL SYSTEMS KOREA ,LIMITED",3780-4658,140210,서울 용산구 한남동 28-2 한남프라자 1층,도?소매(유통),의료용품 도매업,46442,20100201,의료용품 도매업,오스트리아,법인기업
(유)신코리아,SHIN KOREA,053-582-3781,711823,대구 달성군 하빈면 하산길 42,도?소매(유통),상품 종합 도매업,46800,20090319,섬유 도소매 무역업,파키스탄,법인기업
(유)씨비세라티지트코리아,CB CERATIZIT KOREA LTD.,,421828,"경기도 부천시 원미구 길주로 (중동 금광베네스타) 252, 1614호",도?소매(유통),상품 종합 도매업,46800,20160407,"탄화텅스텐 기타 희토류, 희소금속 관련 제품의 수입 판매업 등",독일,법인기업
(유)아남,"ANAM CO., LTD.",031-490-2554,425834,서울특별시 구로구 디지털로27가길 27(구로동),비즈니스서비스업,시스템 소프트웨어 개발 및 공급업,58221,20080109,"컴퓨터주변기기 및 소프트웨어 설계,제조,판매 및 관련 서비스",미국,법인기업
(유)아르젠터보,"AERZEN TURBO CO., LTD",043-277-6500,363941,충북 청원군 부용면 금호선말길 63,기계?장비,그외 기타 특수목적용 기계 제조업,29299,20110127,"기계, 전자제품의 제조 및 판매업",독일,법인기업
(유)아마데우스코리아,AMADEUS KOREA LTD.,772-2826,150737,"서울특별시 마포구 마포대로 (공덕동 ) 130,3층(별정우체국연금관리단빌딩)",비즈니스서비스업,컴퓨터 프로그래밍 서비스업,62010,20120514,"컴퓨터 프로그래밍,시스템 통합 및 관리업",스페인,법인기업
(유)아신와치,ASINWACHI LLC,,790330,"경상북도 포항시 남구 새천년대로 306, 108동 2803호(효자동, 웰빙타운 에스케이뷰아파트)",운수?창고(물류),일반 및 국외 여행사업,75211,20150413,여행사업 및 관련서비스업 부동산매매업 및 임대업,칠레,법인기업
(유)아이지지코리아,IGG KOREA LTD.,,135918,"서울특별시 강남구 언주로 432, 12층 (역삼동, 아이에스타워)",비즈니스서비스업,응용소프트웨어 개발 및 공급업,58222,20150121,게임 개발 및 공급업,싱가포르,법인기업
(유)아이티에스코리아,ITS KOREA LTD.,010-2541-2653,135937,"서울특별시 강남구 강남대로66길 6 (역삼동, 두성타워8층)",도?소매(유통),상품 종합 도매업,46800,20120110,종합무역업,호주,법인기업
(유)아카푸르코,AKAPURKO CO. LTD.,053-558-8812,704931,대구광역시 달서구 당산로45길 151 (죽전동),도?소매(유통),상품 종합 도매업,46800,19961113,농축산물.음식료품및담배무역업,파키스탄,법인기업
(유)알레스,ALLES LTD.,,305340,대전광역시 유성구 대덕대로649번길 16-1(도룡동),전기?전자,텔레비전 제조업,26511,20150701,기계 및 전자제품 제조업/도소매업,네덜란드,법인기업
(유)알지피코리아,RGP KOREA LTD.,772-2811,135010,"서울특별시 강남구 테헤란로5길 7, 케이지타워 12층 (역삼동)",도?소매(유통),전자상거래업,47911,20111123,"통신판매업, 전자상거래업 등",독일,법인기업
(유)압두카허르무역,,010-3705-0208,404140,"충청남도 논산시 해월로 189, 1층",음식?숙박,그외 기타 음식점업,56199,20131023,일반음식점,러시아,법인기업
(유)앤에스비코리아,NSB KOREA LTD,514604745,608023,부산 남구 대연3동 55-1번지 21센츄리오피스텔 1423호,운송용기계,선박 구성부분품 제조업,31114,20100319,"조선기자재수출입,선박관련기술자문용역,운송취급 및 보조하역서비스",독일,법인기업
(유)에닥피에스코리아,EDAG PRODUCTION SOLUTIONS KOREA LTD.,.,153803,"서울특별시 금천구 가마산로 96 1001 (가산동, 대륭테크노타운 8차)",비즈니스서비스업,기타 엔지니어링 서비스업,72129,20120316,엔지니어링 서비스 전문업,독일,법인기업
(유)에스에이에스인터내셔날,SAS INTERNATIONAL,053-637-6672,704817,대구광역시 달서구 상원로9길 27 (상인동),도?소매(유통),상품 종합 도매업,46800,20130416,무역업,파키스탄,법인기업
(유)에스케이씨에보닉페록사이드코리아,"SKC EVONIK PEROXIDE KOREA CO.,LTD.",032-510-2418,680180,울산 남구 상개동 482-3,화공,기타 기초무기화학물질 제조업,20129,20060711,기타기초무기화합물 제조업,독일,법인기업
(유)에이씨아이더블유더블유코리아,ACI WORLDWIDE KOREA YUHAN HOESA,02-738-4105,135851,"서울특별시 강남구 영동대로 333(대치동, 일동빌딩 3층)",비즈니스서비스업,시스템 소프트웨어 개발 및 공급업,58221,20001115,"소프트웨어개발, 컴퓨터운영",미국,법인기업
(유)에이지인터내셔널,AG INTERNATIONAL LIMITED,,135935,"서울특별시 강남구 테헤란로6길 (역삼동 ) 33, 2층",전기?전자,기타 가정용 전기기기 제조업,28519,20160513,미용 및 건강 관련 제품 제조 및 수출업,벨리즈,비영리법인
(유)에이치지앤엠컴퍼니,HG&M COMPANY,010-8695-5322,426855,"경기도 동두천시 평화로2530번길 35, 104호 (보산동)",도?소매(유통),상품 종합 도매업,46800,20140217,상품도매업,나이지리아,법인기업
(유)에코코리아,ECCO KOREA LIMITED.,031-628-4800,463869,"경기도 성남시 분당구 대왕판교로 660, 제3층 318호 (삼평동, 유스페이스1비)",도?소매(유통),신발 도매업,46420,20130107,신발도매업,싱가포르,법인기업
(유)에프엑스인터내셔널,"FX INTERNATIONAL CO.,LTD.",,151847,"서울특별시 관악구 쑥고개로 105, 2층 207호 (봉천동, 삼원오피스텔)",도?소매(유통),상품 종합 도매업,46800,20160105,"도소매, 무역",중국,법인기업
(유)엘앤에스코리아,"LNS KOREA CO., LTD.",,423858,"경기도 광명시 오리로 1043, 4층(광명동, 크리스탈빌딩)",도?소매(유통),수송용 기계 및 장비 도매업,46593,20141013,기계 장비 수입 판매 등,스위스,법인기업
(유)엠에스지글로벌솔루션스코리아,MSG GLOBAL SOLUTIONS KOREA,02 709 8905,140805,"서울특별시 용산구 한강대로92길 7층 (한강로2가, 엘에스용산타워)",비즈니스서비스업,시스템 소프트웨어 개발 및 공급업,58221,20120907,보험관련 시스템 개발업,스위스,법인기업
(유)영혼의과학연구회,SCIENCE OF SOUL STUDY GROUP KOREA LIMITED,031-511-7008,472120,"경기도 남양주시 늘을1로16번길 25 (호평동, 603-1호, 604호)",도?소매(유통),"서적, 잡지 및 신문 도매업",46453,20050706,"교육,음악 및 엔터테인먼트관련상품의도소매",홍콩,법인기업
(유)오알이코리아,"ORE KOREA CO.,LTD.",,135924,"서울특별시 강남구 테헤란로 (역삼동 동훈빌딩) 317, 14층",부동산?임대,비주거용 건물 임대업,68112,20141117,"부동산의 임대차, 매매, 개발 및 보수 관리업",일본,법인기업
(유)오퍼스픽쳐스,opus pictures limited liability company,234434296,135996,"서울특별시 강남구 학동로 24 (논현동, 푸름빌딩 3층)",문화?오락,일반 영화 및 비디오물 제작업,59111,20120502,영회기획투자제작업,홍콩,법인기업
(유)와이에스디코리아,YDS KOREA INC.,02-501-9488,446905,경기 용인시 기흥구 상갈로 31 (상갈동),부동산?임대,비주거용 건물 임대업,68112,20111215,부동산 투자 및 부동산 임대업,미국,법인기업
(유)우빈,"WOO-BIN CO.,LTD",116595127,561231,전북 전주시 덕진구 인후동1가 933-1,부동산?임대,기타 부동산 임대업,68119,20090120,부동산임대 및 매매업,일본,법인기업
(유)워터스코리아,WATERS KOREA LIMITED,02-6300-4852,150868,"서울특별시 영등포구 여의공원로 101, 905호-907호(여의도동)",도?소매(유통),"의료, 정밀 및 과학기기 도매업",46592,20000321,종합무역업 등,미국,법인기업
(유)원광마인즈,"WON KWANG MINES, INC.",02-2056-3783,138240,충청남도 당진시 송산면 칠절길 165,비즈니스서비스업,기타 광업 지원 서비스업,8090,20100323,금광탐사업,호주,법인기업
(유)이스턴코어,EASTERN CORE,061-463-2224,526892,전라남도 영암군 삼호읍 나불로 163,운송용기계,선박 구성부분품 제조업,31114,20061201,"제조, 선박부품",우루과이,법인기업
(유)이이피디,ENVIRONMENTAL ENGINEERING AND PROJECT DEVELOPMENT LTD.,.,140201,서울 용산구 이태원1동 180-18,비즈니스서비스업,환경컨설팅 및 관련 엔지니어링 서비스업,72122,20101118,환경컨설팅,오스트리아,법인기업
(유)인스트론코리아,INSTRON KOREA LLC.,02-552-2311,135280,서울 강남구 대치동 983-3 해암빌딩 16층,도?소매(유통),"의료, 정밀 및 과학기기 도매업",46592,19930322,산업용기계장비등무여및고학기기도매,미국,법인기업
(유)인에이블코리아,"ENABLE KOREA CO.,LTD.",031-713-4799,463870,"경기도 성남시 분당구 성남대로 69, 710호 (구미동, 로드랜드이지타워)",기계?장비,반도체 제조용 기계 제조업,29271,20041224,반도체 설계외,케이만군도,법인기업
(유)자연의길,"NATURE'S WAY CO., LTD.",02-2040-377,135220,서울 강남구 수서동 713 현대벤쳐빌 1528호,도?소매(유통),건강보조식품 소매업,47216,20120430,건강보조식품 소매업,홍콩,법인기업
(유)장고코리아,XANGO KOREA LLC,,135280,"서울특별시 강남구 테헤란로 (대치동 ) 624, 3층(대치동, 오로라빌딩)",도?소매(유통),기타 가공식품 도매업,46329,20160620,기타 가공식품 도매업,미국,법인기업
(유)제이엑스,J.X. TRADING CO.,010-6555-5442,151015,"서울특별시 관악구 신원로3길 20 (신림동,지층)",도?소매(유통),화장품 및 방향제 소매업,47813,20121217,서비스도소매,중국,법인기업
(유)제주블러드스톡,JEJU BLOODSTOCK,064-776-1393,695924,제주 제주시 한림읍 금악리 116,농?축?임업,말 및 양 사육업,1291,20110405,말 사육 축사 관련 서비스업,영국,법인기업
(유)중여국제12엠씨씨건설,Chalieco 12Mcc Construction,,405825,"인천광역시 남동구 논현로46번길 (논현동 ) 23, 5층",종합건설,기타 비주거용 건물 건설업,41129,20160711,종합건설업,중국,법인기업
(유)차벨파트너스건축사무소,ZABEL PARTNERS ARCHITECT OFFICE LIMITED COMPANY,02-582-8223,137952,"서울특별시 서초구 명달로 65, 4층 (서초동, 일흥빌딩)",비즈니스서비스업,건축설계 및 관련 서비스업,72111,20120817,건축설계,독일,법인기업
(유)청곡,CEONG GOK,1058399788,420852,경기도 부천시 원미구 중동로248번길 38A-608,도?소매(유통),그외 기타 상품전문 도매업,46799,20130528,미정,중국,개인사업자
(유)청운무역,CHEONG WOON TRADING,,140879,"서울특별시 용산구 청파로 40, 1306호(한강로 3가, 삼구빌딩)",도?소매(유통),상품 종합 도매업,46800,20141013,무역업,중국,법인기업
(유)청원식품,CHUNG WON MART,051-203-1598,604030,부산 사하구 신평동 550,도?소매(유통),기타 비가공 식품 도매업,46319,20090529,식료품수입,중국,법인기업
(유)카오스그룹,CHAOS GROUP INC,,153817,"서울특별시 금천구 서부샛길 606, A동 15층 1510호 (가산동, 대성디폴리스지식산업센터)",비즈니스서비스업,온라인?모바일 게임 소프트웨어 개발 및 공급업,58211,20150521,소프트웨어개발,불가리아,법인기업
(유)카이샤국제여행사,"KAIXIA TRAVEL CO., LTD.",,690814,"제주특별자치도 제주시 연동8길 30, 701호(연동, 대경빌딩)",운수?창고(물류),일반 및 국외 여행사업,75211,20150203,일반여행사,중국,법인기업
(유)캡스톤인베스트먼트,CAPSTONE INVESTMENT LIMITED,02-2022-0970,150010,서울 영등포구 여의도동 45-11 주택건설회관 6층 692호,부동산?임대,기타 부동산 개발 및 공급업,68129,20100107,부동산투자 및 개발업,싱가포르,법인기업
(유)케바코리아,KEBA KOREA LTD.,.,463400,"경기도 성남시 분당구 판교역로 235 N-205 (삼평동, 에이치스퀘어)",도?소매(유통),상품 종합 도매업,46800,20130425,"산업자동차 관련 설비, 부속물, 소프트웨어 등 수입 판매업 등",오스트리아,법인기업
(유)케이테크코리아,"K TECH KOREA CO.,LTD.",061-363-2733,506501,광주광역시 광산구 원두로 (월전동 ) 17,금속,일반철물 제조업,25932,20091229,"철물가공업, 강구조물 제잘 설치",일본,법인기업
(유)크롬알로이코리아,CHROMALLOY KOREA LTD,2262-6211,157220,서울 강서구 방화동 830-2 하이포트 409호,도?소매(유통),상품종합 중개업,46105,20100913,"항공우주산업제품,엔진부품,터빈부품,도료,주물및기타제품을포함한원료,성분및완제품의수입및수출",미국,법인기업
(유)키디코리아,KIDDY KOREA LTD,070-4681-5670,135120,"경기도 성남시 중원구 사기막골로 124 1409호(상대원동, 에스케이테크노파크 제메가센터동)",도?소매(유통),상품 종합 도매업,46800,20130612,상품 종합 도매업,독일,법인기업
(유)키스위모바일코리아,KISWE MOBILE KOREA LLC,,110848,서울특별시 종로구 평창7길 (평창동 ) 74-11,비즈니스서비스업,시스템 소프트웨어 개발 및 공급업,58221,20160530,"모바일 서비스 플랫폼의 판매 및 개발, 소프트웨어 개발",미국,법인기업
(유)키엔터테인먼트,,,153801,서울특별시 금천구 시흥대로153길 (가산동 ) 52 1층,비즈니스서비스업,경영컨설팅업,71531,20160127,"서비스(경영컨설팅업, 매니저업, 일반여행업 외)",싱가포르,법인기업
(유)태진엔지니어링,TAE GIN ENGINEERING,061-464-0093,526891,전남 영암군 삼호읍 나불리 339-19,운송용기계,선박 구성부분품 제조업,31114,20060707,선박블럽조립,일본,법인기업
